--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 5918 | Addr: 4200222 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 27488 | Addr: 4221792 | RoutineName: unnamedImageEntryPoint
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 27546 | Addr: 4221850 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 27588 | Addr: 4221892 | RoutineName: unnamedImageEntryPoint
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 27593 | Addr: 4221897 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Windows\System32\KERNEL32.DLL | BaseAddr: 98704 | Addr: 140724934967696 | RoutineName: GetSystemTimeAsFileTime
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 27604 | Addr: 4221908 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Windows\System32\KERNEL32.DLL | BaseAddr: 151184 | Addr: 140724935020176 | RoutineName: GetCurrentProcessId
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 27612 | Addr: 4221916 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Windows\System32\KERNEL32.DLL | BaseAddr: 88528 | Addr: 140724934957520 | RoutineName: GetCurrentThreadId
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 27622 | Addr: 4221926 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Windows\System32\KERNEL32.DLL | BaseAddr: 88768 | Addr: 140724934957760 | RoutineName: GetTickCount
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 27637 | Addr: 4221941 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Windows\System32\KERNEL32.DLL | BaseAddr: 90256 | Addr: 140724934959248 | RoutineName: QueryPerformanceCounter
--FROM-- DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 27681 | Addr: 4221985 | RoutineName: unnamedImageEntryPoint
++ TO ++ DLL: C:\Users\Marcos\source\repos\h3xduck\TFM\samples\nc64.exe | BaseAddr: 27712 | Addr: 4222016 | RoutineName: unnamedImageEntryPoint
